file,comment,clean_comment
/content/pandas/pandas/core/internals/construction.py,# and a subsequent `astype` will not already result in a copy,and a subsequent astype will not already result in a copy
/content/pandas/pandas/tests/util/test_assert_series_equal.py,# Do not ignore index.,do not ignore index
/content/pandas/pandas/tests/tools/test_to_datetime.py,# Match Timestamp behavior in disallowing non-round floats with,match timestamp behavior in disallowing nonround floats with
/content/pandas/pandas/core/internals/construction.py,# TODO: is that an issue with numpy?,todo is that an issue with numpy
/content/pandas/pandas/core/arrays/datetimelike.py,"# All of the functions implemented here are ordinal, so we can",all of the functions implemented here are ordinal so we can
/content/pandas/pandas/tests/tools/test_to_datetime.py,# CASE 1: valid input,case  valid input
/content/pandas/pandas/tests/strings/conftest.py,"# if the string is not found, search only for empty string",if the string is not found search only for empty string
/content/pandas/pandas/tests/series/methods/test_nlargest.py,"# float, int, datetime64 (use i8), timedelts64 (same),",float int datetime use i timedelts same
/content/pandas/pandas/tests/frame/test_query_eval.py,# Note: Formatting checks may wrongly consider the above ``inline code``.,note formatting checks may wrongly consider the above inline code
/content/pandas/pandas/core/computation/scope.py,# these are created when parsing indexing expressions,these are created when parsing indexing expressions
/content/pandas/pandas/core/series.py,#  key that is not present in self.index.,key that is not present in selfindex
/content/pandas/pandas/tests/frame/methods/test_combine_first.py,# TODO: this must be int64,todo this must be int
/content/pandas/pandas/tests/io/parser/dtypes/test_dtypes_basic.py,# the negative cases (parse as text),the negative cases parse as text
/content/pandas/pandas/core/generic.py,# type: ignore[override],type ignoreoverride
/content/pandas/pandas/tests/frame/methods/test_nlargest.py,# nlargest,nlargest
/content/pandas/pandas/tests/dtypes/cast/test_promote.py,# float filled with float,float filled with float
/content/pandas/pandas/io/json/_json.py,# type: ignore[assignment],type ignoreassignment
/content/pandas/pandas/tests/extension/test_categorical.py,# na value handling in Categorical.__contains__ is deprecated.,na value handling in categoricalcontains is deprecated
/content/pandas/pandas/tests/copy_view/test_methods.py,# TODO(CoW): Block splitting causes references here,todocow block splitting causes references here
/content/pandas/pandas/tests/io/parser/test_c_parser_only.py,# Set the number of lines so that a call to `parser_trim_buffers`,set the number of lines so that a call to parsertrimbuffers
/content/pandas/pandas/core/computation/eval.py,# we will ignore numpy warnings here; e.g. if trying,we will ignore numpy warnings here eg if trying
/content/pandas/pandas/tests/series/test_arithmetic.py,# noqa: E711,noqa e
/content/pandas/pandas/io/pytables.py,# Note: the definition of `values_cols` ensures that each,note the definition of valuescols ensures that each
/content/pandas/pandas/tests/dtypes/test_missing.py,# Interval,interval
/content/pandas/pandas/core/dtypes/dtypes.py,# PandasExtensionDtype superclass and uses the public properties to,pandasextensiondtype superclass and uses the public properties to
/content/pandas/pandas/tests/indexes/timedeltas/test_constructors.py,# fast-path for invalidating a frequency if the passed data already,fastpath for invalidating a frequency if the passed data already
/content/pandas/pandas/tests/io/pytables/test_file_handling.py,# read_hdf uses default mode,readhdf uses default mode
/content/pandas/pandas/tests/base/test_misc.py,# as _get_opstr is used internally in the dynamic implementation of the docstring,as getopstr is used internally in the dynamic implementation of the docstring
/content/pandas/pandas/tests/test_algos.py,"# factorize removes the NaNs, those have to be excluded here as well",factorize removes the nans those have to be excluded here as well
/content/pandas/pandas/io/html.py,# tables in the wild have no <thead> or <tfoot>,tables in the wild have no thead or tfoot
/content/pandas/pandas/tests/reshape/test_cut.py,# negative values,negative values
/content/pandas/pandas/tests/io/parser/test_python_parser_only.py,"# skipped because it is malformed, but we do",skipped because it is malformed but we do
/content/pandas/pandas/core/internals/construction.py,# don't force copy because getting jammed in an ndarray anyway,dont force copy because getting jammed in an ndarray anyway
/content/pandas/pandas/io/common.py,# Wrapper that wraps a StringIO buffer and reads bytes from it,wrapper that wraps a stringio buffer and reads bytes from it
/content/pandas/pandas/tests/io/parser/test_c_parser_only.py,# See gh-12912,see gh
/content/pandas/pandas/tests/indexes/multi/test_monotonic.py,"# mixed levels, hits the TypeError",mixed levels hits the typeerror
/content/pandas/pandas/tests/copy_view/test_methods.py,"# because of the assignment, but the EA is updated inplace so still",because of the assignment but the ea is updated inplace so still
/content/pandas/pandas/tests/groupby/methods/test_nth.py,# https://github.com/pandas-dev/pandas/issues/32194,httpsgithubcompandasdevpandasissues
/content/pandas/pandas/tests/test_algos.py,# GH62036: regression test for ranking with tiny float values,gh regression test for ranking with tiny float values
/content/pandas/pandas/core/generic.py,# https://github.com/python/mypy/issues/8354,httpsgithubcompythonmypyissues
/content/pandas/pandas/core/arrays/datetimelike.py,"# i.e np.timedelta64(""NaT"")",ie nptimedeltanat
/content/pandas/pandas/core/generic.py,"# Treat missing thresholds as no bounds, not clipping the values",treat missing thresholds as no bounds not clipping the values
/content/pandas/pandas/core/series.py,# error: Cannot determine type of 'isna',error cannot determine type of isna
/content/pandas/pandas/io/pytables.py,# Handle case of NaN-only categorical columns in which case,handle case of nanonly categorical columns in which case
/content/pandas/pandas/tests/extension/json/array.py,# in internal code (GH-20735),in internal code gh
/content/pandas/pandas/tests/series/indexing/test_getitem.py,# it works!,it works
/content/pandas/pandas/core/dtypes/base.py,# out it is an ExtensionDtype or type_t[ExtensionDtype],out it is an extensiondtype or typetextensiondtype
/content/pandas/pandas/tests/arithmetic/test_interval.py,# same endpoints,same endpoints
/content/pandas/pandas/tests/indexes/datetimelike_/test_sort_values.py,# without freq,without freq
/content/pandas/pandas/tests/test_algos.py,# same object -> True,same object  true
/content/pandas/pandas/tests/io/pytables/test_file_handling.py,# double closing,double closing
/content/pandas/pandas/io/pytables.py,"#  error: Signature of ""write"" incompatible with supertype ""Fixed""",error signature of write incompatible with supertype fixed
/content/pandas/pandas/tests/io/parser/test_python_parser_only.py,# see gh-6893,see gh
/content/pandas/pandas/tests/io/parser/common/test_chunksize.py,# see gh-3866: if chunks are different types and can't,see gh if chunks are different types and cant
/content/pandas/pandas/tests/test_algos.py,# use bit patterns to identify which nan was kept:,use bit patterns to identify which nan was kept
/content/pandas/pandas/tests/frame/methods/test_astype.py,# we use the nearest supported dtype (i.e. M8[s]),we use the nearest supported dtype ie ms
